[StudentID,TotalNumberOfSemestersRegistered,Semester,NumCoursesTakenInTheSemester
, 78,12,8,9
, 78,12,9,7
, 78,12,10,8
, 78,12,11,2
, 78,12,12,2
, 79,11,1,10
, 79,11,2,8
, 79,11,3,10
, 79,11,4,10
, 79,11,5,9
, 79,11,6,9
, 79,11,7,6
, 79,11,8,1
, 79,11,9,7
, 79,11,10,3
, 79,11,11,1
, 80,10,1,10
, 80,10,2,8
, 80,10,3,8
, 80,10,4,10
, 80,10,5,8
, 80,10,6,9
, 80,10,7,5
, 80,10,8,6
, 80,10,9,3
, 80,10,10,3
, 81,14,1,11
, 81,14,2,12
, 81,14,3,8
, 81,14,4,1
, 81,14,5,8
, 81,14,6,6
, 81,14,7,1
, 81,14,8,8
, 81,14,9,9
, 81,14,10,1
, 81,14,11,2
, 81,14,12,6
, 81,14,13,1
, 81,14,14,4
, 82,11,1,10
, 82,11,2,9
, 82,11,3,1
, 82,11,4,8
, 82,11,5,8
, 82,11,6,2
, 82,11,7,9
, 82,11,8,8
, 82,11,9,1
, 82,11,10,5
, 82,11,11,3
, 83,8,1,10
, 83,8,2,8
, 83,8,3,8
, 83,8,4,9
, 83,8,5,8
, 83,8,6,9
, 83,8,7,7
, 83,8,8,7
, 84,13,1,10
, 84,13,2,9
, 84,13,3,9
, 84,13,4,9
, 84,13,5,8
, 84,13,6,1
, 84,13,7,8
, 84,13,8,7
, 84,13,9,1
, 84,13,10,7
, 84,13,11,8
, 84,13,12,1
, 84,13,13,6
, 85,12,1,10
, 85,12,2,8
, 85,12,3,1
, 85,12,4,8
, 85,12,5,10
, 85,12,6,1
, 85,12,7,1
, 85,12,8,9
, 85,12,9,9
, 85,12,10,1
, 85,12,11,1
, 85,12,12,5
, 86,13,1,12
, 86,13,2,10
, 86,13,3,1
, 86,13,4,9
, 86,13,5,8
, 86,13,6,1
, 86,13,7,9
, 86,13,8,1
, 86,13,9,8
, 86,13,10,7
, 86,13,11,6
, 86,13,12,1
, 86,13,13,1
, 87,14,1,9
, 87,14,2,9
, 87,14,3,9
, 87,14,4,8
, 87,14,5,10
, 87,14,6,9
, 87,14,7,2
, 87,14,8,7
, 87,14,9,6
, 87,14,10,1
, 87,14,11,1
, 87,14,12,5
, 87,14,13,7
, 87,14,14,1
, 88,11,1,9
, 88,11,2,9
, 88,11,3,8
, 88,11,4,8
, 88,11,5,8
, 88,11,6,1
, 88,11,7,8
, 88,11,8,6
, 88,11,9,2
, 88,11,10,1
, 88,11,11,4
, 89,12,1,9
, 89,12,2,9
, 89,12,3,10
, 89,12,4,10
, 89,12,5,10
, 89,12,6,1
, 89,12,7,1
, 89,12,8,8
, 89,12,9,6
, 89,12,10,4
, 89,12,11,1
, 89,12,12,1
, 90,11,1,10
, 90,11,2,10
, 90,11,3,8
, 90,11,4,1
, 90,11,5,1
, 90,11,6,7
, 90,11,7,8
, 90,11,8,8
, 90,11,9,6
, 90,11,10,1
, 90,11,11,4
, 91,9,1,10
, 91,9,2,9
, 91,9,3,1
, 91,9,4,8
, 91,9,5,8
, 91,9,6,9
, 91,9,7,8
, 91,9,8,7
, 91,9,9,4
, 92,15,1,1
, 92,15,2,8
, 92,15,3,9
, 92,15,4,1
, 92,15,5,9
, 92,15,6,8
, 92,15,7,9
, 92,15,8,8
, 92,15,9,1
, 92,15,10,2
, 92,15,11,7
, 92,15,12,9
, 92,15,13,2
, 92,15,14,1
, 92,15,15,1
, 93,11,1,8
, 93,11,2,8
, 93,11,3,8
, 93,11,4,8
, 93,11,5,1
, 93,11,6,8
, 93,11,7,8
, 93,11,8,7
, 93,11,9,7
, 93,11,10,2
, 93,11,11,1
, 94,12,1,11
, 94,12,2,12
, 94,12,3,9
, 94,12,4,1
, 94,12,5,9
, 94,12,6,9
, 94,12,7,1
, 94,12,8,8
, 94,12,9,6
, 94,12,10,1
, 94,12,11,8
, 94,12,12,1
, 95,11,1,9
, 95,11,2,8
, 95,11,3,9
, 95,11,4,9
, 95,11,5,9
, 95,11,6,9
, 95,11,7,2
, 95,11,8,6
, 95,11,9,7
, 95,11,10,1
, 95,11,11,2
, 96,12,1,9
, 96,12,2,10
, 96,12,3,8
, 96,12,4,1
, 96,12,5,8
, 96,12,6,8
, 96,12,7,2
, 96,12,8,8
, 96,12,9,7
, 96,12,10,6
, 96,12,11,1
, 96,12,12,1
, 97,8,1,10
, 97,8,2,9
, 97,8,3,8
, 97,8,4,9
, 97,8,5,9
, 97,8,6,8
, 97,8,7,8
, 97,8,8,6
, 98,9,1,10
, 98,9,2,9
, 98,9,3,9
, 98,9,4,9
, 98,9,5,8
, 98,9,6,9
, 98,9,7,7
, 98,9,8,7
, 98,9,9,1
, 99,11,1,10
, 99,11,2,8
, 99,11,3,1
, 99,11,4,9
, 99,11,5,8
, 99,11,6,9
, 99,11,7,8
, 99,11,8,1
, 99,11,9,2
, 99,11,10,6
, 99,11,11,4
, 100,11,1,9
, 100,11,2,9
, 100,11,3,9
, 100,11,4,8
, 100,11,5,1
, 100,11,6,8
, 100,11,7,9
, 100,11,8,1
, 100,11,9,1
, 100,11,10,8
